PTM#,Final determination,genetic match/notes,Determination in the field,Vial in Martone Lab?,Extracted?,Date of Extraction,PCR date (psbA),psbA sequence?,PCR date (CO1),CO1 sequence?,PCR date (rbcL),RbcL sequence?,SSU sequence?,Red/Green/Brown,Locality,Date Collected,Notes,Accession #,Missing accession,Habitat,Fragments available?,Latitude,Longitude,Main Collector,Other collectors ,Determiners
1601,,,Neopolyporolithon reclinatum,yes,,,,,,,,,,Red,"West Beach Boulders, Calvert island",26-Jul-17,"On Calliarthron; Only 1 copy, sent to Matt for BOLD",A93238,,"Subtidal, 5.5m",,51.6492,-128.1519,Ondine Pontier and Tanya Prinzing,,Patrick T. Martone
1602,Bossiella reptans,sequence match 99.78% with Bossiella reptans in BOLD; short seqeunce (<500bp),Bossiella hakaiensis,yes,x (BOLD),,2018.07.24 (JL),,,,,,,Red,"West Beach Boulders, Calvert island",26-Jul-17,Under Nereocystis,A93239,,"Subtidal, 5.5m",,51.6495,-128.1554,Ondine Pontier and Tanya Prinzing,,Patrick T. Martone
1603,Bossiella sp. 1chiloensis,sequence match 100% with Bossiella sp. 1chiloensis in BOLD,Bossiella chiloensis,yes,,,,,,,,,,Red,"West Beach Boulders, Calvert island",26-Jul-17,"Growing with PTM1602, Under Nereocystis",A93240,,"Subtidal, 5.5m",,51.6495,-128.1554,Ondine Pontier and Tanya Prinzing,,Patrick T. Martone
1604,Bossiella schmittii,sequence match 100% with Bossiella schmittii in BOLD; confirmed with NCBI,Bossiella californica,yes,,,,,,,,,,Red,"West Beach Boulders, Calvert island",26-Jul-17,Under Nereocystis,A93241,,"Subtidal, 5.5m",,51.6495,-128.1554,Ondine Pontier and Tanya Prinzing,,Patrick T. Martone
1605,,,Halocystis phase of Derbesia,no,,,,,,,,,,Green,"Mouth of Kwakshua channel, Calvert Island",26-Jul-17,On Lithothamnion phymatodeum rhodolith,A93242,,"Subtidal, 8.9m",,51.65545,-127.9603,Ondine Pontier and Tanya Prinzing,,Patrick T. Martone
1606,,sequencing failed,Lithothamnion phymatodeum,yes,x (BOLD),,2018.07.24 (JL),,,,,,,Red,"Mouth of Kwakshua channel, Calvert Island",26-Jul-17,On shell / rhodolith?,A93243,,"Subtidal, 8.9m",,51.65545,-127.9603,Ondine Pontier and Tanya Prinzing,,Patrick T. Martone
1607,Microcladia coulteri,sequence match 100% with Microcladia coulteri in BOLD,Microcladia coulteri,yes,,,,,,,,,,Red,"4th Beach, Calvert Island",28-Jul-17,,A93244,,Cast ashore,,51.642,-128.156,PTMartone,,Patrick T. Martone
1608,,contaminated,Chiharaea americana,no,,,,,,,,,,Red,"Mouth of Kwakshua channel, Calvert Island",26-Jul-17,Overgrowing shells,A93245,,"Subtidal, 8.9m",,51.65545,-127.9603,Ondine Pontier and Tanya Prinzing,,Patrick T. Martone
1609,Mazzaella minima,sequence match 100% with Mazzaella minima in BOLD,Rhodymenia sp.,no,,,,,,,,,,Red,"West Beach Boulders, Calvert island",26-Jul-17,"On cobble with Lithothamnion phymatodeum, in Nereocystis bed",A93246,,"Subtidal, 6m",,51.6495,-128.1554,Ondine Pontier and Tanya Prinzing,,Patrick T. Martone
1610,Hymenena fryeana,sequence match 100% with Hymenena fryeana in BOLD,Rhodymenia sp.,yes,,,,,,,,,,Red,"West Beach Boulders, Calvert island",26-Jul-17,"On Pterygophora stipe, in Macrocystis bed",A93247,,"Subtidal, 3.5m",,51.6492,-128.1519,Ondine Pontier and Tanya Prinzing,,Patrick T. Martone
1611,,sequencing failed,Lithothamnion phymatodeum,yes,x (BOLD),,2018.07.24 (JL),,,,,,,Red,"Mouth of Kwakshua channel, Calvert Island",26-Jul-17,On granite with Chiharaea americana,A93248,,"Subtidal, 6.8m",,51.65545,-127.9603,Ondine Pontier and Tanya Prinzing,,Patrick T. Martone
1612,,,Crusticorallina adhaerens,yes,,,,,,,,,,Red,"West Beach Boulders, Calvert island",26-Jul-17,"On cobble in Macrocystis bed; Only 1 copy, sent to Matt for BOLD",A93249,,"Subtidal, 3m",,51.6492,-128.1519,Ondine Pontier and Tanya Prinzing,,Patrick T. Martone
1613,Ahnfeltia fastigiata,sequence match 100% with Ahnfeltia fastigiata in BOLD,Ahnfeltia fastigiata,yes,,,,,,,,,,Red,West side of Potts Island,28-Jul-17,"Just outside seagrass bed, forming extensive mat",A93250,,"Shallow subtidal, -1m",,52.1168,128.3751,Erin Reichsteiner,,Patrick T. Martone
1614,,sequencing failed,Gracilaria sp.,yes,x (BOLD),,,,,,2018.07.31 (JL),,,Red,"McMullens islands, North",28-Jul-17,"On sand in seagrass, MarineGEO location FHAK11",A93251,,Shallow subtidal,,52.0607,128.41402,Ben Millard-Martin,,Patrick T. Martone
1615,Mastocarpus latissimus,sequence match 100% with Mastocarpus latissimus in BOLD,Mastocarpus sp.,yes,,,,,,,,,,Red,"Between 4th and 5th Beach, Calvert island",28-Jul-17,"On bedrock surrounded by sand, Photo M1_1",A93252,,Low intertidal,,51.642,-128.156,Patrick T. Martone,,Patrick T. Martone
1616,,sequencing failed,Petrocelis,yes,x (BOLD),,,,,,2018.07.31 (JL),,,Red,"Between 4th and 5th Beach, Calvert island",28-Jul-17,"On bedrock surrounded by sand, resembling Hildenbrandia, Photo M1_1",A93253,,Low intertidal,,51.642,-128.156,Patrick T. Martone,,Patrick T. Martone
1617,Hildenbrandia occidentalis,sequence match 100% with Hildenbrandia occidentalis in BOLD,Petrocelis,yes,,,,,,,,,,Red,"Between 4th and 5th Beach, Calvert island",28-Jul-17,"On bedrock surrounded by sand, resembling Hildenbrandia, Photo M1_2and3",A93254,,Low intertidal,,51.642,-128.156,Patrick T. Martone,,Patrick T. Martone
1618,,sequencing failed,Hildenbrandia sp.,yes,x (BOLD),,,,,,2018.07.31 (JL),,,Red,"Between 4th and 5th Beach, Calvert island",28-Jul-17,"On bedrock surrounded by sand, very thick, Photo M1_4",A93255,,Low intertidal,,51.642,-128.156,Patrick T. Martone,,Patrick T. Martone
1619,Mastocarpus vancouveriensis,sequence match 100% with Mastocarpus vancouveriensis in BOLD,Mastocarpus sp.,yes,,,,,,,,,,Red,"Between 4th and 5th Beach, Calvert island",28-Jul-17,"On rock surrounded by sand, photo M2_1",A93256,,Low intertidal,,51.642,-128.156,Patrick T. Martone,,Patrick T. Martone
1620,Hildenbrandia occidentalis,sequence match 100% with Hildenbrandia occidentalis in BOLD; no robust NCBI match,Hildenbrandia sp.,yes,,,,,,,,,,Red,"Between 4th and 5th Beach, Calvert island",28-Jul-17,"At base of rock surrounded by sand, extensive, photo M2_3and4",A93257,,Low intertidal,,51.642,-128.156,Patrick T. Martone,,Patrick T. Martone
1621,,sequencing failed,Ahnfeltia sp.,yes,x (BOLD),,,,,,2018.07.31 (JL),,,Red,"Between 4th and 5th Beach, Calvert island",28-Jul-17,"At base of rock surrounded by sand, wiry, photo M2_5",A93258,,Low intertidal,,51.642,-128.156,Patrick T. Martone,,Patrick T. Martone
1622,Mastocarpus latissimus,sequence match 100% with Mastocarpus latissimus in BOLD,Mastocarpus sp.,yes,,,,,,,,,,Red,"5th Beach monitoring site, Calvert Island",28-Jul-17,"Within 9m quad, photo M3_1",A93259,,Low intertidal,,51.64089,-128.15659,Patrick T. Martone,,Patrick T. Martone
1623,Mastocarpus intermedius,sequence match 100% with Mastocarpus intermedius in BOLD,Petrocelis,yes,,,,,,,,,,Red,"5th Beach monitoring site, Calvert Island",28-Jul-17,"0.5m below 9m quad, adjacent PTM1624, photo M3_2",A93260,,Low intertidal,,51.64089,-128.15659,Patrick T. Martone,,Patrick T. Martone
1624,,sequencing failed,Petrocelis,yes,x (BOLD),,,,,,2018.07.31 (JL),,,Red,"5th Beach monitoring site, Calvert Island",28-Jul-17,"0.5m below 9m quad, adjacent PTM1623, photo M3_3",A93261,,Low intertidal,,51.64089,-128.15659,Patrick T. Martone,,Patrick T. Martone
1625,Mastocarpus intermedius,sequence match 100% with Mastocarpus intermedius in BOLD,Mastocarpus sp.,yes,,,,,,,,,,Red,"5th Beach monitoring site, Calvert Island",28-Jul-17,"0.5m below 9m quad, photo M3_4",A93262,,Low intertidal,,51.64089,-128.15659,Patrick T. Martone,,Patrick T. Martone
1626,Mastocarpus intermedius,sequence match 99.85% with Mastocarpus intermedius,Petrocelis,yes,,,,,,,,,,Red,"5th Beach monitoring site, Calvert Island",28-Jul-17,"0.5m below 9m quad, green-yellowish, photo M3_5",A93263,,Low intertidal,,51.64089,-128.15659,Patrick T. Martone,,Patrick T. Martone
1627,Mastocarpus intermedius,sequence match 99.85% with Mastocarpus intermedius,Mastocarpus sp.,yes,,,,,,,,,,Red,"5th Beach monitoring site, Calvert Island",28-Jul-17,"Within 10m quad, photo M4_1",A93264,,Low intertidal,,51.64089,-128.15659,Patrick T. Martone,,Patrick T. Martone
1628,,sequencing failed,Hildenbrandia sp.,yes,x (BOLD),,,,,,2018.07.31 (JL),,,Red,"5th Beach monitoring site, Calvert Island",28-Jul-17,"0.5m higher than 10m low quad, on vertical rock, photo M4_2",A93265,,Lower mid-intertidal,,51.64089,-128.15659,Patrick T. Martone,,Patrick T. Martone
1629,,contaminated,Hildenbrandia sp.,yes,,,,,,,,,,Red,"5th Beach monitoring site, Calvert Island",28-Jul-17,"Within 11m quad, photo M4_3",A93266,,Low intertidal,,51.64089,-128.15659,Patrick T. Martone,,Patrick T. Martone
1630,,sequencing failed,Hildenbrandia sp.,yes,x (BOLD),,,,,,2018.07.31 (JL),,,Red,"5th Beach monitoring site, Calvert Island",28-Jul-17,"By Neorhodomela larix, thick black, photo M5_1",A93267,,Upper low intertidal,,51.64089,-128.15659,Patrick T. Martone,,
1631,Mastocarpus intermedius,sequence match 100% with Mastocarpus intermedius in BOLD,Mastocarpus sp.,yes,,,,,,,,,,Red,"5th Beach monitoring site, Calvert Island",28-Jul-17,"1m from PTM1630, photo M5_2",A93268,,Upper low intertidal,,51.64089,-128.15659,Patrick T. Martone,,
1632,,sequencing failed,Mastocarpus sp.,yes,x (BOLD),,,,,,2018.07.31 (JL),,,Red,"5th Beach monitoring site, Calvert Island",28-Jul-17,"Broad and dichotomous, photo M6_1",A93269,,mid intertidal,,51.64089,-128.15659,Patrick T. Martone,,
1633,Hildenbrandia sp. 2GWS,sequence match 100% with Hildenbrandia sp. 2GWS in BOLD; confirmed with tree,Hildenbrandia sp.,yes,,,,,,,,,,Red,"5th Beach monitoring site, Calvert Island",28-Jul-17,"Adjacent to PTM1632, photo M6_2",A93270,,mid intertidal,,51.64089,-128.15659,Patrick T. Martone,,
1634,Hildenbrandia sp. 2GWS,sequence match 100% with Hildenbrandia sp. 2GWS in BOLD; confirmed with tree,Hildenbrandia occidentalis,yes,,,,,,,,,,Red,"5th Beach monitoring site, Calvert Island",28-Jul-17,"In patches among barnacles, zonate tetrasporangia, deep and narrow conceptacles, photo M7_1",A93271,,Upper mid intertidal,,51.64089,-128.15659,Patrick T. Martone,,
1635,Mastocarpus alaskensis,sequence match 100% with Mastocarpus alaskensis in BOLD,Mastocarpus sp.,yes,,,,,,,,,,Red,"5th Beach monitoring site, Calvert Island",28-Jul-17,"2m shoreward of PTM1634, photo M7_2and3",A93272,,Upper mid intertidal,,51.64089,-128.15659,Patrick T. Martone,,
1636,Hildenbrandia occidentalis,sequence match 99.69% with Hildenbrandia occidentalis in BOLD; no robust NCBI match,Hildenbrandia sp.,yes,,,,,,,,,,Red,"Between 4th and 5th Beach, Calvert island",28-Jul-17,"On wave-washed rock surrounded by sand, photo M8_1",A93273,,Low intertidal,,51.642,-128.156,Patrick T. Martone,,
1637,Mastocarpus alaskensis,sequence match 99.85% with Mastocarpus alaskensis in BOLD,Petrocelis,yes,,,,,,,,,,Red,"West Beach Boulders, Calvert Island",28-Jul-17,"In mid-zone transect by west bolt, photo M9_1",A93274,,mid intertidal,,51.65135,-128.14308,Patrick T. Martone,,
1638,Mastocarpus intermedius,sequence match 100% with Mastocarpus intermedius in BOLD,Mastocarpus sp.,yes,,,,,,,,,,Red,"West Beach Boulders, Calvert Island",28-Jul-17,"0.5m below PTM1637 and west transect bolt, photo M9_2",A93275,,mid intertidal,,51.65135,-128.14308,Patrick T. Martone,,
1639,,sequencing failed,Hildenbrandia sp.,yes,x (BOLD),,,,,,2018.07.31 (JL),,,Red,"West Beach Boulders, Calvert Island",28-Jul-17,"1m west of mid transect, photo M10_1",A93276,,mid intertidal,,51.65135,-128.14308,Patrick T. Martone,,
1640,,sequencing failed,Mastocarpus sp.,yes,x (BOLD),,,,,,2018.07.31 (JL),,,Red,"West Beach Boulders, Calvert Island",28-Jul-17,"0.5m from PTM1639, photo M10_2",A93277,,mid intertidal,,51.65135,-128.14308,Patrick T. Martone,,
1641,Mastocarpus intermedius,sequence match 100% with Mastocarpus intermedius in BOLD,Mastocarpus sp.,yes,,,,,,,,,,Red,"West Beach Boulders, Calvert Island",28-Jul-17,"Growing out of crust at base of boulder with PTM1642, photo M11_1",A93278,,mid intertidal,,51.65135,-128.14308,Patrick T. Martone,,
1642,Mastocarpus rigidus,sequence match 100% with Mastocarpus intermedius in BOLD,Mastocarpus sp.,yes,,,,,,,,,,Red,"West Beach Boulders, Calvert Island",28-Jul-17,"Growing out of crust at base of boulder with PTM1641, photo M11_1",A93279,,mid intertidal,,51.65135,-128.14308,Patrick T. Martone,,
1643,Polysiphonia pacifica,sequence match 100% with Polysiphonia pacifica in BOLD,Polysiphonia pacifica,no,,,,,,,,,,Red,"Rattenbury Island, Hakai",30-Jul-17,MarineGeo location XHAK2,A93280,,"Subtidal, 6.5m",,51.7012,-128.07399,Zac Montieth,,
1644,,contaminated,Ceramium gardneri,yes,,,,,,,,,,Red,"Rattenbury Island, Hakai",30-Jul-17,"On giant clam, MarineGeo location XHAK2",A93281,,"Subtidal, 6.8m",,51.7012,-128.07399,Zac Montieth,,
1645,,sequencing failed,Gloiocladia laciniata,yes,x (BOLD),,,,,,2018.07.31 (JL),,,Red,"Rattenbury Island, Hakai",30-Jul-17,"On giant clam, wide morphology, MarineGeo location XHAK2",A93282,,"Subtidal, 7m",,51.7012,-128.07399,Zac Montieth,,
1646,Bossiella schmittii,sequence match 100% with Bossiella schmittii in BOLD,Bossiella schmittii,yes,,,,,,,,,,Red,"Rattenbury Island, Hakai",30-Jul-17,MarineGeo location XHAK2,A93283,,"Subtidal, 6.9m",,51.7012,-128.07399,Zac Montieth,,
1647,,sequencing failed,Crusticorallina adhaerens,yes,x (BOLD),,2018.07.24 (JL),,,,,,,Red,"Rattenbury Island, Hakai",30-Jul-17,"Growing on plastic baseplate of MarineGeo ARM2, swirled, white margin, up to 1cm diameter",A93284,,"Subtidal, 7m",,51.7012,-128.07399,PTMartone,,
1648,,"Best BOLD match is 94.8% to ""sp.12BCrust""; best NCBI match is to ""Amphiroa sp"" *** Need another gene; psbA?",Coralline crust,yes,x (BOLD),,2018.07.24 (JL),,,,,,,Red,"Rattenbury Island, Hakai",30-Jul-17,"Growing on plastic baseplate of MarineGeo ARM2, small, mauve, up to 3mm diameter, uniporate",A93285,,"Subtidal, 7m",,51.7012,-128.07399,PTMartone,,
1649,,sequencing failed,Peyssonnelia sp.,yes,x (BOLD),,,,,,2018.07.31 (JL),,,Red,"Rattenbury Island, Hakai",30-Jul-17,"Growing on plastic baseplate of MarineGeo ARM2, yellowish orange, 2-3cm diameter",A93286,,"Subtidal, 7m",,51.7012,-128.07399,PTMartone,,
1650,Sarcodiotheca furcata,sequence match 100% with Sarcodiotheca furcata in BOLD; confirmed with NCBI,Gloiocladia laciniata,yes,,,,,,,,,,Red,"Rattenbury Island, Hakai",30-Jul-17,Thin morphology,A93287,,"Subtidal, <40ft",,51.7012,-128.07399,Andy Lamb and Derek VanManen,,
1651,Sarcodiotheca furcata,sequence match 100% with Sarcodiotheca furcata in BOLD; confirmed with NCBI,Sarcodiotheca furcata,yes,,,,,,,,,,Red,"Rattenbury Island, Hakai",30-Jul-17,Thin morphology,A93288,,"Subtidal, <40ft",,51.7012,-128.07399,Andy Lamb and Derek VanManen,,
1652,,sequencing failed,Rhodoptilum plumosum,yes,x (BOLD),,,,,,2018.07.31 (JL),,,Red,"Kelpie Point, Calvert Island",31-Jul-17,cystocarpic,A93289,,"Subtidal, IHAK23",,51.73363,-127.99724,Gustav Paulay,,
1653,,,Stephanocystis geminata,yes,,,,,,,,,,Brown,"Kelpie Point, Calvert Island",31-Jul-17,cystocarpic,A93290,,"Subtidal, IHAK23",,51.73363,-127.99724,Gustav Paulay,,
1654,Hymenena kylinii,sequence match 100% with Hymenena kylinii in BOLD; also a match to Hymenena sp.GWS002901 in NCBI,Hymenena setchellii,yes,,,,,,,,,,Red,"Kelpie Point, Calvert Island",31-Jul-17,tetrasporangial sori in longitudinal bands,A93291,,"Subtidal, IHAK23",,51.73363,-127.99724,Gustav Paulay,,
1655,Calliarthron tuberculosum,sequence match 100% with Calliarthron tuberculosum in BOLD,Calliarthron tuberculosum,yes,,,,,,,,,,Red,"Kelpie Point, Calvert Island",31-Jul-17,spindly morphology,A93292,,"Subtidal, IHAK23",,51.73363,-127.99724,Gustav Paulay,,
1656,Peyssonnelia sp. 9BC,sequence match 100% with Peyssonnelia sp.9BC in BOLD,Peyssonnelia sp.,yes,,,,,,,,,,Red,"West Beach, Calvert island",31-Jul-17,"On coralline crust on cobble, crisp round margin, sunburst coloration",A93293,,"Subtidal, 5m",,51.65536863,-128.1416272,Aaron Galloway and Andy Lamb,,
1657,Corallina frondescens,sequence match 100% with Corallina frondescens in BOLD,Corallina sp.,no,,,,,,,,,,Red,"Lyte Group, Hakai",02-Aug-17,"On ARMS, small amount of material, no distinctive characteristics; Only 1 copy, sent to Matt for BOLD ",A93294,,"Subtidal, 5m",,51.81429571,-128.237035,Lauran Liggan,,
1658,Mesophyllum vancouveriense,sequence match 100% with Mesophyllum vancouveriense in BOLD,Unknown Coralline crust,no,,,,,,,,,,Red,"Lyte Group, Hakai",02-Aug-17,"On ARMS, small amount of material, no distinctive characteristics;Only 1 copy, sent to Matt for BOLD ",A93295,,"Subtidal, 5m",,51.81429571,-128.237035,Lauran Liggan,,
1659,Crusticorallina painei,sequence match 99.15% with Crusticorallina painei in BOLD; good match but short sequence (<400bp),Unknown Coralline Crust 1,yes,,,,,,,,,,Red,"NE Rattenbury, Hakai",02-Aug-17,"On rock scallop, in bedrock urchin barren",A93296,,"Subtidal, 5m",,51.70098097,-128.0739607,"Aaron Galloway, Kyle Hall, Zach Monieth, Andy Lamb, Gustav Paulay",,
1660,,contaminated,Unknown Coralline Crust 2,yes,,,,,,,,,,Red,"NE Rattenbury, Hakai",02-Aug-17,"On rock scallop and polychete worm, in bedrock urchin barren",A93297,,"Subtidal, 5m",,51.70098097,-128.0739607,"Aaron Galloway, Kyle Hall, Zach Monieth, Andy Lamb, Gustav Paulay",,
1661,,sequencing failed,Unknown Coralline Crust 3,yes,x (BOLD),,2018.07.24 (JL),,,,,,,Red,"NE Rattenbury, Hakai",02-Aug-17,"On rock scallop, in bedrock urchin barren, very hard, smooth surface",A93298,,"Subtidal, 5m",,51.70098097,-128.0739607,"Aaron Galloway, Kyle Hall, Zach Monieth, Andy Lamb, Gustav Paulay",,
1662,Bossiella orbigniana,sequence match 100% with Bossiella orbigniana in BOLD,Bossiella sp. w/ Crustose base,yes,,,,,,,,,,Red,"West Beach, Calvert Island",02-Aug-17,"On pebble, in Nereocystis forest",A93299,,"Subtidal, 5m",,51.649467,-128.155367,Gustav Paulay,,
1663,,sequencing failed,Articulated coralline (Bossiella spp.?),yes,x (BOLD),,2018.07.24 (JL),,,,,,,Red,"Triquet, Macro,Hakai",03-Aug-17,"Growing on plastic baseplate of MarineGeo ARMS 08, common, small uprights up to 3mm in length, intergenicula 1-2 mm wide",A93300,,"Subtidal, 5m",,51.65423,-128.14142,Lauran Liggan,,
1664,,sequencing failed,Articulated coralline (Bossiella spp.?),yes,x (BOLD),,2018.07.24 (JL),,,,,,,Red,"Triquet, Macro, Hakai",03-Aug-17,"Growing on MarineGeo ARMS 08, common, small uprights up to 3mm in length, intergenicula 1-2 mm wide",A93301,,"Subtidal, 5m",,51.65423,-128.14142,Lauran Liggan,,
1665,Crusticorallina adhaerens,sequence match 100% to Crusticorallina adhaerens in BOLD,Unknown Coralline Crust 1,yes,,,,,,,,,,Red,"Triquet, Macro, Hakai",03-Aug-17,"Growing on MarineGeo ARMS 08, common, small crusts 3-5mm wide, no voucher",,only photo voucher,"Subtidal, 5m",,51.65423,-128.14142,Lauran Liggan,,
1666,Bossiella frondifera,sequence match 100% to Bossiella frondifera in BOLD,Unknown Coralline Crust 1,no,,,,,,,,,,Red,"Goldstream, Hakai",04-Aug-17,"Growing on MarineGeo ARMS 07, small crusts 3-5mm wide, no voucher; Only 1 copy, sent to Matt for BOLD",,only photo voucher,"Subtidal, 5m, urchin barren",,51.65185,-128.14278,Lauran Liggan,,
1667,,sequencing failed,Unknown Coralline Crust 2,yes,x (BOLD),,2018.07.24 (JL),,,,,,,Red,"Goldstream, Hakai",04-Aug-17,"Growing on MarineGeo ARMS 07, small crusts 3-5mm wide, no voucher",,only photo voucher,"Subtidal, 5m, urchin barren",,51.65185,-128.14278,Lauran Liggan,,
1668,,sequencing failed,Unknown Coralline Crust 3,no,x (BOLD),,2018.07.24 (JL),,,,,,,Red,"Goldstream, Hakai",04-Aug-17,"Growing on MarineGeo ARMS 07, small crusts 3-5mm wide, no voucher; Only 1 copy, sent to Matt for BOLD",,only photo voucher,"Subtidal, 5m, urchin barren",,51.65185,-128.14278,Lauran Liggan,,
1669,,sequencing failed,Unknown Coralline Crust 4,yes,x (BOLD),,2018.07.24 (JL),,,,,,,Red,"Goldstream, Hakai",04-Aug-17,"Growing on MarineGeo ARMS 07, small crusts 3-5mm wide, no voucher",,only photo voucher,"Subtidal, 5m, urchin barren",,51.65185,-128.14278,Lauran Liggan,,
1670,,,Ulva linza,yes,,,,,,,,,,Green,"N. Pigu, Choked Pass",04-Aug-17,Growing on seagrass,A93302,,"Subtidal, 5m, seagrass bed, sand, on rock island",,51.67629307,-128.1222137,"Derek VanMaanen, Zach Monieth, Ondine Pontier",,
1671,Bossiella frondifera,sequence match 100% with Bossiella frondifera in BOLD,Unknown corraline crust 1,no,,,,,,,,,,Red,"West Beach, Macrocystsis site, Calvert Island",04-Aug-17,"Growing on plastic baseplate of MarineGeo ARMS 06, 2-3 cm wide, white margin, purple/pink; Only 1 copy, sent to Matt for BOLD",A93303,,"Subtidal, 5m, Macrocystis forest",,51.89583,128.1694,Lauran Liggan,,
1672,,sequencing failed,Bossiella sp. ,no,x (BOLD),,2018.07.24 (JL),,,,,,,Red,"West Beach, Macrocystsis site, Calvert Island",04-Aug-17,"Growing on plastic baseplate of MarineGeo ARMS 06, small intergenicula ~1mm wide, fine pinnate branching; Only 1 copy, sent to Matt for BOLD",A93304,,"Subtidal, 5m, Macrocystis forest",,51.89583,128.1694,Lauran Liggan,,
1673,,sequencing failed,Bossiella sp. ,no,x (BOLD),,2018.07.24 (JL),,,,,,,Red,"West Beach, Macrocystsis site, Calvert Island",04-Aug-17,"Growing on plastic baseplate of MarineGeo ARMS 06, small intergenicula 2-3mm wide, pinnately branched, intergenicula are heart-shaped; Only 1 copy, sent to Matt for BOLD",A93305,,"Subtidal, 5m, Macrocystis forest",,51.89583,128.1694,Lauran Liggan,,
1674,,sequencing failed,Bossiella sp. ,no,x (BOLD),,2018.07.24 (JL),,,,,,,Red,"West Beach, Macrocystsis site, Calvert Island",04-Aug-17,"Growing on plastic baseplate of MarineGeo ARMS 06, small intergenicula 2-3mm wide, pinnately branched, intergenicula wider than long; Only 1 copy, sent to Matt for BOLD",A93306,,"Subtidal, 5m, Macrocystis forest",,51.89583,128.1694,Lauran Liggan,,
